entity_id,name,camapaña_tipo,calculo_tipo,tin,plazo,valor,activo
13,Caixa - Configuración Base - octubre25,0,1,7.99,72,13.0,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,72,1.8273,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,72,8.0,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,84,1.7443,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,84,13.5,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,84,1.6243,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,84,8.5,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,96,1.5932,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,96,15.25,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,96,1.4732,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,96,10.25,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,108,1.4767,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,108,15.25,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,108,1.3567,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,108,10.25,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,120,1.3843,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,120,15.25,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,120,1.2643,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,120,10.25,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,48,2.7138,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,48,10.5,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,48,2.5938,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,48,5.5,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,60,2.2836,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,60,13.0,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,60,2.1636,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,60,8.0,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,72,1.9986,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,72,15.0,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,72,1.8786,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,72,10.0,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,84,1.7968,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,84,17.25,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,84,1.6768,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,84,12.25,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,96,1.6467,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,96,17.25,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,96,1.5267,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,96,12.25,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,108,1.5313,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,108,17.25,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,108,1.4113,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,108,12.25,True
13,Caixa - Configuración Base - octubre25,0,0,8.99,120,1.44,True
13,Caixa - Configuración Base - octubre25,0,1,8.99,120,17.25,True
13,Caixa - Configuración Base - octubre25,0,3,8.99,120,1.32,True
13,Caixa - Configuración Base - octubre25,0,2,8.99,120,12.25,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,48,2.7635,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,48,12.5,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,48,2.6435,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,48,7.5,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,60,2.3345,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,60,15.0,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,60,2.2145,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,60,10.0,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,72,2.0508,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,72,16.5,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,72,1.9308,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,72,11.5,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,84,1.8501,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,84,18.0,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,84,1.7301,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,84,13.0,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,96,1.7014,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,96,19.5,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,96,1.5814,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,96,14.5,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,108,1.5871,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,108,19.5,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,108,1.4671,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,108,14.5,True
13,Caixa - Configuración Base - octubre25,0,0,9.99,120,1.4971,True
13,Caixa - Configuración Base - octubre25,0,1,9.99,120,19.5,True
13,Caixa - Configuración Base - octubre25,0,3,9.99,120,1.3771,True
13,Caixa - Configuración Base - octubre25,0,2,9.99,120,14.5,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,48,2.8139,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,48,14.5,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,48,2.6939,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,48,9.5,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,60,2.3861,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,60,17.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,60,2.2661,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,60,12.0,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,72,2.1038,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,72,18.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,72,1.9838,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,72,13.0,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,84,1.9045,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,84,21.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,84,1.7845,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,84,16.0,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,96,1.757,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,96,22.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,96,1.637,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,96,17.0,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,108,1.6442,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,108,22.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,108,1.5242,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,108,17.0,True
13,Caixa - Configuración Base - octubre25,0,0,10.99,120,1.5555,True
13,Caixa - Configuración Base - octubre25,0,1,10.99,120,22.0,True
13,Caixa - Configuración Base - octubre25,0,3,10.99,120,1.4355,True
13,Caixa - Configuración Base - octubre25,0,2,10.99,120,17.0,True
4,Cetelem - Configuración Base,1,0,5.99,36,3.38354,True
4,Cetelem - Configuración Base,1,1,5.99,36,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,48,2.63825,True
4,Cetelem - Configuración Base,1,1,5.99,48,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,60,2.19441,True
4,Cetelem - Configuración Base,1,1,5.99,60,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,72,1.90172,True
4,Cetelem - Configuración Base,1,1,5.99,72,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,84,1.69476,True
4,Cetelem - Configuración Base,1,1,5.99,84,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,96,1.5432,True
4,Cetelem - Configuración Base,1,1,5.99,96,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,108,1.43411,True
4,Cetelem - Configuración Base,1,1,5.99,108,3.0,True
4,Cetelem - Configuración Base,1,0,5.99,120,1.35183,True
4,Cetelem - Configuración Base,1,1,5.99,120,3.0,True
4,Cetelem - Configuración Base,1,0,6.99,36,3.43416,True
4,Cetelem - Configuración Base,1,1,6.99,36,4.0,True
4,Cetelem - Configuración Base,1,0,6.99,48,2.69007,True
4,Cetelem - Configuración Base,1,1,6.99,48,4.5,True
4,Cetelem - Configuración Base,1,0,6.99,60,2.24758,True
4,Cetelem - Configuración Base,1,1,6.99,60,5.0,True
4,Cetelem - Configuración Base,1,0,6.99,72,1.95636,True
4,Cetelem - Configuración Base,1,1,6.99,72,5.5,True
4,Cetelem - Configuración Base,1,0,6.99,84,1.75093,True
4,Cetelem - Configuración Base,1,1,6.99,84,5.5,True
4,Cetelem - Configuración Base,1,0,6.99,96,1.560102,True
4,Cetelem - Configuración Base,1,1,6.99,96,5.5,True
4,Cetelem - Configuración Base,1,0,6.99,108,1.41379,True
4,Cetelem - Configuración Base,1,1,6.99,108,5.5,True
4,Cetelem - Configuración Base,1,0,6.99,120,1.33465,True
4,Cetelem - Configuración Base,1,1,6.99,120,5.5,True
4,Cetelem - Configuración Base,1,0,7.99,36,3.48525,True
4,Cetelem - Configuración Base,1,1,7.99,36,5.5,True
4,Cetelem - Configuración Base,1,0,7.99,48,2.7425,True
4,Cetelem - Configuración Base,1,1,7.99,48,6.0,True
4,Cetelem - Configuración Base,1,0,7.99,60,2.30152,True
